pretty_formula,material_id,band_gap
Cs2PdCl4,mp-1078085,1.839
MgAg4Te8(MoO12)2,mp-1234308,1.8628
PtS2,mp-762,1.5467000000000004
Na2Pd(SeO4)2,mp-559068,1.5109
Sm2NiPtO6,mp-1208922,1.6680999999999997
MgHAu2F11,mp-1202806,1.6864
LiAgF2,mp-752927,1.6817
H26Pd4Pt(C11O8)2,mp-1195183,1.8833
K2PtCl4,mp-22934,1.8196
Na2FeAgF6,mp-1111331,1.7821
Mg(AuF4)2,mp-8708,1.6964
CsAuO2,mp-997024,1.5219000000000005
Na2AgAsF6,mp-1111093,1.9406
AuCS2Cl3,mp-556112,1.8955
K2Pt(NO2)4,mp-669498,1.9671
RbCdAuS2,mp-558536,1.9376
K6NaAu2IO8,mp-555392,1.8846
La4Au2O9,mp-9160,1.9691
Cs2AgAu,mp-1097285,1.975
ZnAgPO4,mp-1193999,1.7382
Ir2(Se3Br2)3,mp-1195597,1.5193
Nd2Au5F21,mp-14716,1.7722
Bi2Pd(SeO3)4,mp-1201497,1.7711
Gd2Au5F21,mp-557726,1.5508000000000002
Rb2MoAuF6,mp-1110587,1.5341
LiRhO2,mp-14115,1.5153
Ag2Mo2O7,mp-27966,1.5567
Ru(C4N3)2,mp-1246365,1.8156
Na3AuO3,mp-768915,1.8237
ScAgO2,mp-1096798,1.7866000000000002
HoAgS2,mp-18262,1.7796999999999996
Rb3RuF6,mp-1238967,1.8235
BaPd(SeO3)2,mp-1205352,1.6510999999999998
BaLaAgSe3,mp-1101818,1.6435
K2YAuBr6,mp-1112058,1.8862
H2Os3(CO)10,mp-600347,1.7320000000000002
Sm2ZnPtO6,mp-1208902,1.7044
Sm2Au5F21,mp-8778,1.7613
Li3RhF6,mp-1237062,1.9018
Tl3Cr4AgO14,mp-1203083,1.976
LiAgF2,mp-759658,1.527
H12RuC4S2N(ClO)3,mp-1204316,1.8301
AgC3N3O,mp-650510,1.5118
TaAgO3,mp-9890,1.6614999999999998
Er2Au5F21,mp-541347,1.7014999999999998
H2Ru4(CO)13,mp-721193,1.7978999999999998
Ba6LiNb2Ir(ClO6)2,mp-1235230,1.5715
H9RhC5NO5,mp-1196715,1.8303
K3SnIrCl8,mp-568970,1.5941
AuBr,mp-570140,1.9716
K5V9H20PtO37,mp-1194921,1.9297
Si2TeH22Pd(C4Cl)2,mp-1204279,1.7525
BaAu2(SO4)4,mp-1190864,1.7853
VAgOF4,mp-1194388,1.9517
Nd4Au2O9,mp-3374,1.9966
MgAg4Te8(MoO12)2,mp-1233805,1.8628
Ag3Mo3AsO13,mp-1214986,1.7696
Mn3Ag2(P2O7)2,mp-542161,1.7732
K2AgBiBr6,mp-1110921,1.5765
Li2AgF3,mp-759198,1.8653
KGeAuS3,mp-554859,1.9974
Hg(AuF4)2,mp-29170,1.5738
Sm2CoPtO6,mp-1208920,1.7723000000000004
Ba6LiNb2Ir(ClO6)2,mp-1232980,1.5718
La5AgS8,mp-37478,1.5947000000000005
H2Os4Pt(CO)15,mp-740758,1.8919
Rb2NbAgSe4,mp-662241,1.7691
Al2Ag2Bi2S3Cl8,mp-1194539,1.9032
K3RhCl6,mp-28837,1.7025
Sm4Ag2Se7,mp-675430,1.5147
Li3RhF6,mp-1111070,1.8808
Dy2Au5F21,mp-1213210,1.5532
NaTl2RhF6,mp-14037,1.7848000000000002
LiAgF2,mp-752549,1.6547999999999998
